ID,Page impressions,Click-through,Earliest date,Age (days),Word count current,Topic,Type,N readings,N versions,Last update date,Mean version lifetime,N URLs total,Authors,Author last,Likes total,Likes daily median,Dislikes total,Dislikes daily median,Video plays,Media type,Meta title length,Meta description length,H1 length,Abstract length,Unique words in URL,Title has colon,Clickbait confidence,Clickbait,Video player type,Sentiment: abstract,Sentiment conf: abstract,Sentiment: title,Sentiment conf: title,const
1012141,268954.0,10.59326130118905,2023-03-30,,1177.0,E-Auto,News,13,0,15. März 2024,12.0,2,Akita,Akita,9,0.0,2,0.0,18010,img,78.0,132.0,78.0,232.0,11.0,True,-0.6740342974662781,Not Clickbait,3 - Widget,neutral,0.998404324054718,negative,0.964427411556244,1
1012142,2806.0,14.50463292943692,2023-04-02,367.0,1454.0,E-Auto,Kaufberatung,4,0,31. März 2023,3.0,1,Mysterious sylvan,Mysterious sylvan,0,0.0,0,0.0,360,img,55.0,154.0,55.0,228.0,9.0,True,0.5129150748252869,Clickbait,1 - Standard,neutral,0.9903823733329772,neutral,0.9636408090591432,1
1012143,37496.0,8.11819927458929,2023-03-29,369.0,351.0,Verkehr,News,9,0,29. März 2023,8.0,1,Dodo,Dodo,0,0.0,0,0.0,2465,img,79.0,153.0,79.0,240.0,10.0,True,0.6027050614356995,Clickbait,3 - Widget,neutral,0.9833258390426636,neutral,0.4837273359298706,1
1012145,9274.0,11.526849255984471,2023-03-29,369.0,521.0,E-Auto,News,3,0,29. März 2023,2.0,1,Whale,Whale,0,0.0,0,0.0,1229,img,75.0,150.0,75.0,200.0,10.0,True,-0.643519937992096,Not Clickbait,,neutral,0.9999359846115112,neutral,0.999193012714386,1
1012147,40898.0,9.936916230622524,2023-03-29,369.0,466.0,E-Auto,News,8,0,29. März 2023,7.0,1,Akita,Akita,0,0.0,0,0.0,2843,img,65.0,152.0,65.0,300.0,11.0,True,0.6087948679924011,Clickbait,3 - Widget,neutral,0.9999898672103882,negative,0.9854512214660645,1
1012149,319955.0,9.775124626900658,2023-03-30,368.0,530.0,Balkonkraftwerk,News,156,1,30. März 2023,163.5,1,Alpaca,Alpaca,7,0.0,0,0.0,18664,img,80.0,158.0,80.0,291.0,10.0,True,-0.696573793888092,Not Clickbait,3 - Widget,neutral,0.9406388401985168,negative,0.9844726920127868,1
1012150,2624688.0,6.005056601013149,2023-03-29,369.0,899.0,Solaranlagen,Deal,250,38,16. März 2024,12.256410256410255,27,Oyster,Oyster,82,0.0,11,0.0,51317,img,76.0,156.0,76.0,282.0,11.0,True,-0.5755847692489624,Not Clickbait,3 - Widget,negative,0.959875464439392,negative,0.9880055785179138,1
1012151,3154.0,18.1991122384274,2023-03-31,368.0,490.0,E-Auto,News,7,0,30. März 2023,6.0,1,Lemur,Lemur,0,0.0,0,0.0,1483,img,71.0,155.0,71.0,206.0,10.0,True,0.9026894569396972,Clickbait,3 - Widget,neutral,0.999308705329895,neutral,0.9956048727035522,1
1012152,106951.0,17.139624687941208,2023-04-04,363.0,511.0,E-Auto,News,13,0,04. April 2023,12.0,1,Whale,Whale,1,0.0,0,0.0,14774,img,62.0,154.0,62.0,224.0,10.0,True,0.5097790360450745,Clickbait,3 - Widget,negative,0.93866628408432,positive,0.9462266564369202,1
1012153,1376430.0,6.481622748704983,2023-03-30,,475.0,Zubehör,News,33,1,23. März 2024,20.0,3,Alpaca,Alpaca,9,0.0,0,0.0,85090,video,69.0,154.0,75.0,240.0,10.0,True,0.5176617503166199,Clickbait,2 - Standard and Widget,neutral,0.9864571690559388,neutral,0.998658299446106,1
1012155,24109.0,10.589406445725665,2023-03-30,,510.0,Wallbox/Laden,News,8,0,30. März 2023,7.0,1,Squirrel,Squirrel,0,0.0,0,0.0,767,img,67.0,151.0,67.0,223.0,9.0,True,-0.5253171920776367,Not Clickbait,3 - Widget,neutral,0.9990648627281188,negative,0.7865282297134399,1
1012156,2148.0,4.46927374301676,2023-03-30,368.0,697.0,E-Auto,News,3,0,30. März 2023,3.0,1,Squirrel,Squirrel,0,0.0,0,0.0,146,img,71.0,144.0,71.0,232.0,12.0,True,-0.825153648853302,Not Clickbait,3 - Widget,neutral,0.9999295473098756,neutral,0.9814220666885376,1
1012157,912722.0,6.833186884944157,2023-03-30,368.0,526.0,Zubehör,News,9,1,30. März 2023,4.0,1,Alpaca,Alpaca,0,0.0,0,0.0,50520,video,69.0,154.0,69.0,223.0,9.0,True,-0.5110632181167603,Not Clickbait,2 - Standard and Widget,neutral,0.9999914169311525,neutral,0.9915401339530944,1
1012159,6058440.0,10.028505687932867,2023-03-31,367.0,677.0,E-Auto,News,30,3,16. Juni 2023,115.5,4,Akita,Akita,53,0.0,0,0.0,365631,video,77.0,155.0,77.0,244.0,11.0,True,-0.6587020754814148,Not Clickbait,2 - Standard and Widget,neutral,0.9904391765594482,neutral,0.9990730285644532,1
1012160,11649454.0,11.031890421645512,2023-03-30,,418.0,Auto,News,38,12,21. Februar 2024,20.76923076923077,6,Whale,Whale,355,0.0,34,0.0,1150667,video,61.0,132.0,61.0,233.0,9.0,False,-0.5212327241897583,Not Clickbait,2 - Standard and Widget,neutral,0.991555631160736,neutral,0.9825934767723083,1
1012161,14984.0,5.425787506673785,2023-03-31,367.0,536.0,E-Auto,News,13,0,31. März 2023,12.0,1,Akita,Akita,0,0.0,0,0.0,644,img,69.0,155.0,69.0,372.0,12.0,True,0.5669170022010803,Clickbait,3 - Widget,neutral,0.9999650716781616,neutral,0.9932246804237366,1
1012163,212848.0,10.016537623092535,2023-04-02,365.0,636.0,E-Auto,News,6,0,02. April 2023,5.0,1,Lemur,Lemur,0,0.0,2,0.0,8014,img,77.0,155.0,77.0,183.0,11.0,False,-0.7924582362174988,Not Clickbait,3 - Widget,neutral,0.992851495742798,neutral,0.9401355981826782,1
1012165,11271.0,8.952178156330405,2023-04-01,366.0,559.0,E-Auto,News,8,0,01. April 2023,7.0,1,Akita,Akita,1,0.0,1,0.0,1889,img,79.0,157.0,79.0,320.0,12.0,True,-0.7934502363204956,Not Clickbait,3 - Widget,neutral,0.9929338693618774,neutral,0.9999070167541504,1
1012166,2005770.0,10.553453287266237,2023-03-30,,560.0,Motorrad,News,14,7,30. März 2023,47.0,3,Serval,Serval,6,0.0,56,0.0,117535,img,56.0,151.0,56.0,326.0,8.0,True,0.522530734539032,Clickbait,3 - Widget,neutral,0.9927750825881958,neutral,0.9831982254981996,1
1012168,1235339.0,7.314915177129516,2023-03-31,,580.0,E-Bike,News,42,1,09. September 2023,61.5,3,Whale,Whale,33,0.0,0,0.0,78391,video,74.0,152.0,74.0,268.0,8.0,True,0.5249378681182861,Clickbait,2 - Standard and Widget,neutral,0.9999839067459106,neutral,0.7320811748504639,1
1012169,109359.0,7.725015773736043,2023-03-30,,1275.0,Verkehr,Ratgeber,8,1,02. April 2023,3.5,2,Rooster,Rooster,25,0.0,0,0.0,8504,img,73.0,156.0,73.0,277.0,12.0,True,0.7076934576034546,Clickbait,3 - Widget,negative,0.987428605556488,neutral,0.9999558925628662,1
1012170,2303858.0,8.866258250291468,2023-04-01,,532.0,Wärmepumpe,News,27,3,11. September 2023,40.75,3,Dodo,Dodo,20,0.0,8,0.0,167401,video,74.0,149.0,74.0,197.0,12.0,True,0.6134535670280457,Clickbait,2 - Standard and Widget,neutral,0.9877870678901672,neutral,0.9999796152114868,1
1012173,15719.0,3.9888033589923024,2023-03-31,367.0,533.0,Energie,News,8,0,31. März 2023,7.0,1,Alpaca,Alpaca,0,0.0,0,0.0,316,img,75.0,151.0,75.0,252.0,10.0,True,-0.5162131190299988,Not Clickbait,3 - Widget,neutral,0.9999648332595824,neutral,0.9998075366020204,1
